fold,acc,f1,f1_sell,f1_wait,f1_buy,wait_pct
1,0.8831168831168831,0.8500113007081701,0.8296703296703297,0.9137792103142627,0.8065843621399177,67.31601731601732
2,0.8538767395626242,0.7849122432668677,0.7572815533980582,0.9010989010989011,0.6963562753036437,70.27833001988071
3,0.8682092555331992,0.7969943175845716,0.7972972972972973,0.91283459162663,0.6808510638297872,72.83702213279678
4,0.8318227593152064,0.7878477387040306,0.7171717171717171,0.8771407297096053,0.7692307692307693,63.54481369587109
5,0.8721804511278195,0.8133538587695611,0.8076923076923077,0.9104180491041804,0.7219512195121951,71.14661654135338
6,0.8446700507614213,0.8106880113211351,0.759493670886076,0.8825347758887172,0.7900355871886121,64.26395939086295
