datetime,open,high,low,close,volume,price_change,pct_change,log_return,daily_range,daily_range_pct,sma_5,ema_5,sma_10,ema_10,sma_20,ema_20,sma_50,ema_50,sma_100,ema_100,sma_200,ema_200,rsi_14,rsi_7,macd,macd_signal,macd_hist,atr_14,atr_pct,bb_upper,bb_mid,bb_lower,bb_width,bb_pct,vwap_20,adx_14,di_plus,di_minus,pivot,r1,s1,r2,s2,day_of_week,month,quarter,year,is_month_end,golden_cross,death_cross,target_next1d,target_dir
2016-03-28,1214.51001,1222.95996,1208.55005,1221.050049,,,,,14.409909999999854,,,1221.050049,,1221.050049,,1221.050049,,1221.050049,,1221.050049,,1221.050049,,,0.0,0.0,0.0,14.409909999999854,1.1801244356692095,,,,,,,0.0,0.0,0.0,,,,,,0,3,1,2016,0,0,0,1242.55005,1.0
2016-03-29,1221.40002,1243.65002,1215.65002,1242.55005,,21.50000100000011,1.7607796680904286,0.01745457540701861,28.0,2.293108298298754,,1228.216716,,1224.959140090909,,1223.097668142857,,1221.8931862941176,,1221.4757915940595,,1221.2639793582089,,,1.7150997948717759,0.3430199589743552,1.3720798358974207,16.221921999999875,1.3055346945581687,,,,,,,13.33333333325493,17.005843491601674,0.0,1217.5200196666667,1226.4899893333334,1212.0800793333335,1231.9299296666666,1203.1101096666669,1,3,1,2016,0,1,0,1224.84998,0.0
2016-03-30,1241.30005,1243.30005,1223.32996,1224.84998,,-17.700070000000096,-1.4244955364172363,-0.014347388676422237,19.970090000000027,1.6071859640583515,,1227.0944706666667,,1224.9392928016528,,1223.2645549863944,,1222.009138988466,,1221.5426072060584,,1221.2996609566346,,,1.6273222575789532,0.5998804186952749,1.0274418388836783,16.72167773333323,1.365202106900735,,,,,,,24.888888888727685,14.297915651116385,0.0,1233.95003,1252.25004,1224.25004,1261.95003,1205.95003,2,3,1,2016,0,0,0,1232.69995,1.0
2016-03-31,1226.060059,1240.050049,1224.81006,1232.69995,,7.849969999999985,0.6408923646306519,0.006388473822886623,15.239988999999923,1.2442331100825852,,1228.9629637777778,,1226.3503213831705,,1224.1631640353091,,1222.4283864791146,,1221.7635446871266,,1221.413096668509,,,2.16621413283292,0.913147161522804,1.253066971310116,16.524119235555457,1.3404818614258447,,,,,,,34.903703703457666,12.539677089735642,0.0,1230.49333,1237.6567,1217.68661,1250.46342,1210.52324,3,3,1,2016,1,0,0,1222.48999,0.0
2016-04-01,1232.68005,1235.35999,1208.83997,1222.48999,,-10.20995999999991,-0.828259950850152,-0.00831709081965867,26.52001999999993,2.1513767401385824,1228.7280038000001,1226.805305851852,,1225.6484429498666,,1224.0038141271846,,1222.4308023034632,,1221.777929742827,,1221.4238120250413,,,1.7492669224727706,1.0803711137127974,0.6688958087599732,17.856906004148055,1.46069956811246,,,,,,,31.382915592742457,10.056585583398379,11.924492030292246,1232.5200196666667,1240.2299793333334,1224.9899903333335,1247.7600086666666,1217.2800306666668,4,4,2,2016,0,0,0,1215.40002,0.0
2016-04-04,1220.34998,1223.34998,1214.69995,1215.40002,,-7.089969999999994,-0.5799613950213223,-0.005816497019702195,8.650030000000015,0.7075747098755397,1227.597998,1223.0035439012347,,1223.785093322618,,1223.1844051626908,,1222.1550853503863,,1221.6516345003947,,1221.3638737959366,,,0.8370825619631432,1.0317134033628665,-0.1946308413997233,16.629322536928317,1.3682180568771356,,,,,,,28.33156589678889,9.359104638308601,11.097461235194773,1222.2299833333334,1235.6199966666668,1209.0999766666669,1248.7500033333333,1195.7099633333335,0,4,2,2016,0,0,0,1231.14001,1.0
2016-04-05,1215.31006,1237.050049,1214.90002,1231.14001,,15.739990000000034,1.2950460540555264,0.01286732035952171,22.150028999999904,1.8224476415591884,1225.3159899999998,1225.71569926749,,1225.1223509003237,,1223.942081813863,,1222.5074353366456,,1221.8395231241493,,1221.4611487830418,,,1.368480540914561,1.0990668308732054,0.2694137100413556,17.36541673200453,1.4105151803168616,,,,,,,28.955219018395834,18.286445523421044,9.21011550677271,1217.81665,1220.93335,1212.28332,1226.46668,1209.16662,1,4,2,2016,0,0,0,1222.34998,0.0
2016-04-06,1231.85999,1232.41003,1217.19995,1222.34998,,-8.790030000000115,-0.7139748467763773,-0.0071653584438518495,15.210080000000062,1.2354468116100021,1224.8159899999998,1224.5937928449935,,1224.6182834639012,,1223.7904530696856,,1222.5012606175615,,1221.8496311810968,,1221.469992874753,,50.731284389582,1.0680237946125999,1.0928582236210844,-0.024834429008484538,17.0780385010706,1.3971480165664667,,,,,,,29.49571839045303,16.11493697607711,8.116417744713576,1227.696693,1240.4933660000002,1218.3433370000002,1249.846722,1205.5466640000002,2,4,2,2016,0,0,0,1240.68994,1.0
2016-04-07,1223.16003,1243.90002,1222.69995,1240.68994,,18.33996000000002,1.500385347901756,0.014892409017595632,21.200070000000096,1.7343698897103181,1226.4139879999998,1229.9591752299957,,1227.5404028341009,,1225.3999280154299,,1223.214542161971,,1222.2227066032533,,1221.6612361297307,,48.91500753285269,2.2834687507051967,1.330980329037907,0.9524884216672898,17.67430536759453,1.4245545803002586,,,,,,,32.6376091720669,22.16304992412996,6.796919385052987,1223.9866533333334,1230.7733566666668,1215.5632766666668,1239.1967333333334,1208.7765733333333,3,4,2,2016,0,0,0,1240.39001,0.0
2016-04-08,1240.18005,1243.18005,1229.62,1240.39001,,-0.2999299999999039,-0.024174452482450537,-0.00024177374974221748,13.560050000000047,1.0929443016197944,1229.993992,1233.4361201533306,1229.3609979,1229.8766950460824,,1226.827554871103,,1223.8880899203252,,1222.582455185367,,1221.847592088639,,61.37300440321841,3.185791964159989,1.7019426560623236,1.4838493080976656,17.1257379852486,1.3806736467708731,,,,,,,35.36058118279604,19.823241733027764,6.079351735029629,1235.7633033333334,1248.8266566666668,1227.6265866666668,1256.9633733333335,1214.5632333333333,4,4,2,2016,0,0,0,1257.94995,1.0
2016-04-11,1239.79004,1259.099976,1239.79004,1257.94995,,17.55993999999987,1.4156789282751436,0.01405751775505211,19.30993599999988,1.5567632635157935,1238.503978,1241.6073967688872,1233.0509880000002,1234.9809232195219,,1229.7915925024267,,1225.223849139136,,1223.28280161734,,1222.206819530543,,66.17972010114185,5.257227963714058,2.4129997175926707,2.8442282461213875,17.416964387215437,1.3845514590795476,,,,,,,39.9468329298608,29.08017111850574,5.180673179915372,1237.73002,1245.84004,1232.27999,1251.29007,1224.16997,0,4,2,2016,0,0,0,1255.93994,0.0
2016-04-12,1259.050049,1262.97998,1251.29004,1255.93994,,-2.0100099999999657,-0.15978457648493372,-0.0015991236818510537,11.689939999999979,0.9292849846689035,1243.463964,1246.384911179258,1234.389977,1238.791653543245,,1232.2819113117193,,1226.428401721915,,1223.9294776249174,,1222.5424724705376,,73.95104642168302,6.659893798535904,3.262378533781318,3.3975152647545865,16.65336113558671,1.3259679547723204,,,,,,,44.28827437969411,29.464917829519006,4.6957920147668,1252.279988666667,1264.7699373333337,1245.4600013333338,1271.5899246666668,1232.970052666667,1,4,2,2016,0,0,0,1243.14001,0.0
2016-04-13,1255.88,1257.18005,1240.23999,1243.14001,,-12.799929999999904,-1.0191514412703495,-0.010243803468874395,16.940059999999903,1.3487953890533892,1247.62197,1245.3032774528388,1236.21898,1239.5822638081095,,1233.3160159486984,,1227.0837589092907,,1224.3098842066022,,1222.7474230927214,,68.36117759861594,6.661875249766354,3.9422778769783253,2.7195973727880283,16.691587650841804,1.3426957154119594,,,,,,,42.75888724840115,25.47777982628736,12.887207738395347,1256.7366533333334,1262.1832666666667,1250.4933266666667,1268.4265933333334,1245.0467133333334,2,4,2,2016,0,0,0,1227.39001,0.0
2016-04-14,1242.050049,1244.38,1223.79004,1227.39001,,-15.75,-1.2669530280824959,-0.012750473178658335,20.58996000000002,1.6562864869903124,1244.961984,1239.3321883018925,1235.687986,1237.365490388453,,1232.7516344297746,,1227.0957687559853,,1224.3708767965704,,1222.7936179873213,,47.51819329722563,5.331098606146043,4.220042022811869,1.1110565833341735,17.21137063072957,1.4022739708244463,,,,,,,37.6982093560574,21.413904622182805,23.575087185425435,1246.85335,1253.4667100000001,1236.5266500000002,1263.79341,1229.9132900000002,3,4,2,2016,0,0,0,1234.050049,1.0
2016-04-15,1227.55005,1236.29004,1225.29004,1234.050049,,6.66003899999987,0.5426179898596173,0.005411511223770829,11.0,0.8962106510871797,1243.6939918,1237.5714752012618,1236.8439919,1236.7626828632797,,1232.8752929602724,,1227.3684856282996,,1224.562543572876,,1222.9056222760048,54.00493407831923,57.967923887672136,4.758999234578596,4.327833465165215,0.43116576941338103,16.383187879965625,1.3275950917259456,,,,,,,33.312288516025994,19.496874777763143,21.464582514902194,1231.85335,1239.91666,1219.3267,1252.44331,1211.26339,4,4,2,2016,0,0,0,1231.55005,0.0
2016-04-18,1234.099976,1242.0,1230.16003,1231.55005,,-2.499998999999889,-0.20258489532298807,-0.0020279037608427765,11.839969999999994,0.9594400170069597,1238.4140118,1235.564333467508,1238.4589949,1235.8149314335924,,1232.7490793450083,,1227.532468544837,,1224.7009100367793,,1222.9916364822136,46.161892705078145,42.063290961979526,4.057109502044568,4.273688672541086,-0.21657917049651765,15.777425495970208,1.2811030697428991,,,,,,,29.847614892002447,22.371476320499365,19.31687247940949,1231.8767096666668,1238.4633793333335,1227.4633793333335,1242.8767096666668,1220.8767096666668,0,4,2,2016,0,0,0,1250.5,1.0
2016-04-19,1232.45996,1257.19995,1227.69995,1250.5,,18.949949999999944,1.5387072575734795,0.015269892088811268,29.5,2.395355349139079,1237.3260237999998,1240.5428889783389,1240.3949939,1238.4849439002119,,1234.4396432169124,,1228.4331560528826,,1225.2117831053579,,1223.265351542092,58.872389185935,56.6312524634092,4.972637950890885,4.413478528211046,0.5591594226798389,17.607102096507514,1.4080049657343074,,,,,,,30.085750044245227,28.884275862594265,15.00158550019059,1234.5700266666665,1238.980023333333,1227.140053333333,1246.4099966666665,1222.7300566666665,1,4,2,2016,0,0,0,1244.050049,0.0
2016-04-20,1251.0,1258.75,1242.59998,1244.050049,,-6.4499510000000555,-0.5157897640943654,-0.005171245512734364,16.15002000000004,1.2914850059976042,1237.5080315999999,1241.7119423188926,1242.5650008,1239.4967811910824,,1235.354919958159,,1229.0455832272794,,1225.5848180735686,,1223.472164452121,53.96441705756666,39.32745175973786,5.118738075190549,4.554530437606947,0.5642076375836025,17.412824483639852,1.3996884207059626,,,,,,,30.56503206360092,26.49923960643217,13.146432469445717,1245.1333,1262.56665,1233.06665,1274.6333,1215.6333,2,4,2,2016,0,0,0,1248.84998,1.0
2016-04-21,1243.48999,1270.47998,1242.88,1248.84998,,4.799931000000015,0.3858310205331561,0.0038508860169317607,27.59997999999996,2.218558652217051,1241.8000256,1244.0912882125951,1243.3810048,1241.1973627927036,,1236.6401637716676,,1229.8222262379745,,1226.0455143493393,,1223.7246800297119,59.56877479572586,44.779869767966495,5.557771265736619,4.755178603232881,0.8025926625037378,18.7711118858212,1.5030718009717388,,,,,,,32.81291065538366,29.636113042795476,10.56912981819108,1248.4666763333332,1254.3333726666665,1238.1833526666665,1264.6166963333333,1232.3166563333332,3,4,2,2016,0,0,0,1232.30005,0.0
2016-04-22,1247.43994,1252.97998,1227.34998,1232.30005,,-16.549929999999904,-1.3252136177317242,-0.013340729303259108,25.63000000000011,2.052288137923509,1241.4500258,1240.1608754750634,1242.5720088,1239.5796695576666,1235.96650335,1236.2268196029374,,1229.9193957972698,,1226.1693665404414,,1223.8100070940927,55.74051530932911,42.436512521250286,4.5181843778084385,4.707779758147993,-0.18959538033955425,19.68563030104505,1.5974705430747205,1259.99134705733,1235.96650335,1211.9416596426702,3.887620520817064,0.4236945431423611,,30.034509636615514,24.491422452619947,19.253062772637506,1254.0699866666666,1265.2599733333332,1237.6599933333332,1281.6699666666666,1226.4700066666667,4,4,2,2016,0,0,0,1237.90002,1.0
2016-04-25,1232.099976,1242.30005,1230.099976,1237.90002,,5.599969999999985,0.454432343811062,0.004534029175546205,12.200074000000086,0.9900246291477538,1242.7200198,1239.4072569833756,1240.5670157999998,1239.274278729,1236.8090018999999,1236.3861720217053,,1230.2323614522788,,1226.4016567079573,,1223.9502062274848,52.46608463696878,58.54336636210834,4.098925199200039,4.586008846358403,-0.4870836471583635,18.68755612757239,1.5096175640721283,1259.79050062417,1236.8090018999999,1213.8275031758299,3.716256703964086,0.5237368788050437,,27.626562087016104,22.359542719402043,17.577161162318127,1237.5433366666666,1247.7366933333333,1222.1066933333332,1263.1733366666667,1211.9133366666665,0,4,2,2016,0,0,0,1243.43994,1.0
2016-04-26,1238.56995,1245.15002,1231.94995,1243.43994,,5.539919999999938,0.4475256410449102,0.004465272227250128,13.200070000000096,1.0663276344401462,1241.3080077999998,1240.7514846555837,1239.3170158,1240.0316716873635,1236.8534964,1237.0579594482097,,1230.750305709052,,1226.7390484563145,,1224.144133926714,57.880593792987234,57.7744206529619,4.165665327650004,4.501940142616723,-0.3362748149667194,17.955891310562752,1.4440497472328861,1259.8851871930278,1236.8534964,1213.8218056069722,3.7242391051266934,0.642986541003961,,26.19093411879742,22.284168912995234,15.85427438581776,1236.7666820000002,1243.4333880000004,1231.2333140000003,1248.9667560000003,1224.566608,1,4,2,2016,0,0,0,1246.099976,1.0
2016-04-27,1242.59998,1251.30005,1240.66003,1246.099976,,2.660035999999991,0.21392557166854953,0.0021369707673218595,10.64002000000005,0.8556923143388856,1241.7179932,1242.5343151037225,1239.6130124,1241.1349997442064,1237.9159962,1237.9191038817135,,1231.352253563599,,1227.12243316015,,1224.3626000169954,52.28987439624579,62.01486455151655,4.382679236519152,4.478087961397209,-0.09540872487805707,16.980441802487725,1.3626869536580206,1260.573696511884,1237.9159962,1215.2582958881162,3.6606200067590495,0.6806004070863124,,26.29240184997288,25.25149647312609,14.529693250938474,1240.1799700000001,1248.4099900000003,1235.2099200000002,1253.3800400000002,1226.9799,2,4,2,2016,0,0,0,1266.47998,1.0
2016-04-28,1245.66003,1270.099976,1238.050049,1266.47998,,20.3800040000001,1.6355031211396254,0.01622272828499097,32.049927000000025,2.572018908376901,1245.2439932000002,1250.5162034024818,1243.5220094000001,1245.7431779725325,1239.6049977,1240.6391873215503,,1232.7298114630657,,1227.9017905233152,,1224.7816784247866,59.43855134181183,62.891292770401975,6.128514621114391,4.808173293340646,1.320341327773745,18.989706495489365,1.4994083440220953,1265.4390983076769,1239.6049977,1213.7708970923231,4.1681181756463115,1.0201454989284948,,29.300345556900453,32.76914105699016,11.260022859528728,1246.0200186666666,1251.3800073333332,1240.7399873333331,1256.6600386666667,1235.3799986666666,3,4,2,2016,0,0,0,1293.73999,1.0
2016-04-29,1266.27002,1296.48999,1265.14001,1293.73999,,27.260009999999966,2.1524232858382675,0.02129585781195808,31.34997999999996,2.4753632505110708,1257.5319812000002,1264.9241322683213,1249.4910034999998,1254.4698710684356,1243.1674977,1245.6964066242597,,1235.1223674841222,,1229.2055172456257,,1225.4678307787688,62.098613153061194,80.00969950325162,9.601081436724598,5.766754922017437,3.8343265147071612,20.637742962757446,1.5952002042355857,1277.361985899234,1243.1674977,1208.973009500766,5.501187613494989,1.239483100393486,,34.136367706404585,43.18171046856797,8.97940207599825,1258.2100016666666,1278.3699543333332,1246.3200273333332,1290.2599286666666,1226.1600746666666,4,4,2,2016,0,0,0,1291.59998,0.0
2016-05-02,1293.68994,1303.97998,1287.47998,1291.59998,,-2.140010000000075,-0.16541268079686144,-0.0016554963862294826,16.5,1.2753721866477976,1268.2719732,1273.8160815122142,1255.4959965,1261.2207999650836,1246.9774957,1250.0681755171872,,1237.337175818078,,1230.4410511615538,,1226.1258621143033,62.04408169426698,76.67544241856257,12.041626361356975,7.021729209885345,5.01989715147163,20.086043901056453,1.5551288488759851,1284.9202508893516,1246.9774957,1209.0347405106484,6.085555724973554,1.0880237752530715,,38.77146487809238,43.42400657853656,7.99589906940677,1285.1233300000001,1305.1066500000002,1273.7566700000002,1316.47331,1253.7733500000002,0,5,2,2016,0,0,0,1286.0,0.0
2016-05-03,1291.76001,1302.40002,1282.45996,1286.0,,-5.5999799999999595,-0.4335692231893673,-0.004345118601885175,19.94006000000013,1.5438262859062704,1276.7839852000002,1277.8773876748096,1259.0459965,1265.726109062341,1249.7204952,1253.4902540393598,,1239.2455218644282,,1231.5412283662754,,1226.72162468033,65.21587338962308,88.81179844989477,13.369785645768616,8.291340497062,5.078445148706615,20.06657938091561,1.5603871991380722,1290.6563864199404,1249.7204952,1208.7846039800595,6.551207470337478,0.9431258697286339,,41.22174208423531,37.67064403358156,10.272077028767988,1294.3533133333333,1301.2266466666665,1284.7266466666665,1310.8533133333333,1277.8533133333333,1,5,2,2016,0,0,0,1279.48999,0.0
2016-05-04,1285.98999,1289.68005,1271.64001,1279.48999,,-6.510009999999966,-0.5062216174183454,-0.005075072596827164,18.040039999999863,1.4028024883359147,1283.4619880000002,1278.4149217832064,1262.5899906,1268.228632869188,1252.5774956999999,1255.9664193689446,,1240.8237363011174,,1232.490708794666,,1227.24668304172,69.79486433561564,79.66898830095421,13.738687015085361,9.380809800666674,4.3578772144186875,19.796374130126843,1.54720820677361,1293.446034194093,1252.5774956999999,1211.7089572059067,6.525510578689407,0.8292568720533885,,40.25461698857658,33.09351005456877,16.311474705791834,1290.28666,1298.11336,1278.1733,1310.2267200000001,1270.3465999999999,2,5,2,2016,0,0,0,1278.050049,0.0
2016-05-05,1279.84998,1286.38,1269.23999,1278.050049,,-1.4399410000000898,-0.11254023175281125,-0.0011260360582363877,17.140010000000075,1.3395970374102009,1285.7760018000001,1278.2932975221377,1265.5099974999998,1270.014344892972,1254.44550115,1258.0696221909498,,1242.2835917010736,,1233.392873947247,,1227.752189170658,67.40786700365578,76.22375641703964,13.756278982326648,10.255903636998669,3.5003753453279796,19.442192246109943,1.521238723109657,1296.426388875202,1254.44550115,1212.4646134247978,6.693138551928576,0.7811344534259518,,38.76662334492013,29.203529706052624,16.040059225668617,1280.2700166666666,1288.9000233333331,1270.8599833333333,1298.3100566666665,1262.2299766666667,3,5,2,2016,0,0,0,1288.69995,1.0
2016-05-06,1278.5,1296.099976,1274.40002,1288.69995,,10.649901,0.8332929534592859,0.008298402353054108,21.69995599999993,1.6978956353844583,1284.7679938,1281.7621816814253,1271.1499875,1273.4117276397044,1256.86099815,1260.986796268002,,1244.1038410461297,,1234.4880635720538,,1228.3586345520446,71.24065030578159,78.79160375690432,14.462859902731452,11.097294890145225,3.3655650125862273,19.743227413295276,1.5320267074810763,1300.9434420999216,1256.86099815,1212.7785542000781,7.01468881838288,0.8611296130278464,,38.85069518269991,31.488075410412435,13.689423083306531,1277.890013,1286.5400359999999,1269.4000259999998,1295.030023,1260.7500029999999,4,5,2,2016,0,0,0,1263.84998,0.0
2016-05-09,1284.93005,1287.97998,1261.089966,1263.84998,,-24.849969999999985,-1.928297583933325,-0.01947131754143802,26.890014000000065,2.086600065438046,1279.2179938,1275.791447787617,1273.7449835,1271.673228068849,1257.15599965,1261.2594804329542,,1244.8781994364776,,1235.0694876597358,,1228.7117822679445,54.75326548705473,48.32376930015428,12.869296237490289,11.45169515961424,1.41760107787605,20.792128291522566,1.645142115009771,1301.3479574568428,1257.15599965,1212.9640418431572,7.030465243636602,0.5757375400655577,,35.45328565220214,25.912983105723807,19.80097090456095,1286.399982,1298.3999439999998,1276.6999879999998,1308.0999379999998,1264.700026,0,5,2,2016,0,0,0,1266.40002,1.0
2016-05-10,1264.10999,1269.5,1257.65002,1266.40002,,2.550040000000081,0.2017676180206207,0.002015643405483626,11.84997999999996,0.9376096995309492,1275.2979978,1272.6609718584114,1276.0409915,1270.7144629654217,1257.6790036500001,1261.7490556298155,,1245.722192399753,,1235.6898942407313,,1229.086789608562,58.18502446438171,24.56266719868917,11.677541044067993,11.49686433650499,0.1806767075630038,19.599841852652887,1.5476817390332074,1302.0575566440973,1257.6790036500001,1213.300450655903,7.057214577853807,0.598257105758947,,31.711611252285575,23.824066036204176,20.544878204901597,1270.9733086666668,1280.8566513333335,1253.9666373333334,1297.8633226666668,1244.0832946666667,1,5,2,2016,0,0,0,1277.68994,1.0
2016-05-11,1265.72998,1279.18005,1264.79004,1277.68994,,11.289919999999938,0.8914971432170349,0.008875467683944201,14.390009999999847,1.136292622610654,1274.9379878,1274.3372945722742,1279.1999879,1271.982731517163,1259.40650015,1263.2672350936427,,1246.9758295605473,,1236.521578315172,,1229.5704030452926,60.08251719659518,38.940934455639095,11.511372718234952,11.499766012850984,0.011606705383968574,18.90519760563248,1.4796389181582255,1304.0908579261913,1259.40650015,1214.7221423738088,7.096097689009738,0.7045843418126874,,30.274236981107933,28.23326936419203,18.459800799312198,1264.51668,1271.3833399999999,1259.53336,1276.36666,1252.6667,2,5,2,2016,0,0,0,1263.48999,0.0
2016-05-12,1277.80005,1280.98999,1263.48999,1263.48999,,-14.199949999999944,-1.111376833725397,-0.011175987684351817,17.5,1.3696593713495153,1272.0259760000001,1270.7215263815162,1278.9009889000001,1270.4385966958607,1261.2114991499998,1263.2884498466292,,1247.6234436954278,,1237.055606269327,,1229.9079113732,61.08623549486085,34.256473362860305,10.117240580123962,11.223260926305581,-1.1060203461816194,18.717837924881483,1.4814393523514566,1303.2909853683852,1261.2114991499998,1219.1320129316143,6.6728675161533415,0.527073653396367,,29.350896042913647,26.00303874937431,16.158633928191467,1273.8866766666667,1282.9833133333334,1268.5933033333336,1288.2766866666666,1259.496666666667,3,5,2,2016,0,0,0,1273.59998,1.0
